,xcode,name,nationality,birthdate,gender,club
0,219617,AADALEN Adrian,NOR,2004,M,Troegstad Skiklubb
1,2148,AAGHEIM Morten,NOR,1980,M,Aga I. L.
2,6573,AALIEN Fredrik,NOR,1993,M,Eggedal
3,5476,AALST VAN DER Oldrik,NED,1995,M,National Team
4,6996,AALTO Antti,FIN,02-04-1995,M,Kiteen Urheilijat
5,2650,AALTO Asko,FIN, ,M, 
6,4882,AARAAS Jon,NOR,1986,M,Ready/Kollenhopp
7,9348,AARDAL Johannes,NOR,2004,M,Joelster IL
8,2828,AARNES Tom Age,NOR,1977,M,Kollenhopp
9,6213,AAS Daniel Haugane,NOR,1990,M,Mo Skilag
10,6733,AASBERG Nikolai,NOR,1998,M,Roeykenhopp
11,2213,AASEN Otto,NOR, ,M, 
12,8379,AASEN Sindre,NOR,26-11-1999,M,Oddersjaa Ssk
13,2768,AASTROEM Magnus,SWE, ,M, 
14,7125,ABDUKHALILOV Ibraim,KAZ,1999,M,Almaty Skiclub
15,7101,ABDULMUSLIMOV Baysangur,RUS,1990,M,Ssg
16,2628,ABERER Gebhard,AUT, ,M, 
17,5943,ABERGER Marco,AUT,1994,M,SK Saalfelden
18,3852,ABRAMOW Dimitri,SOV, ,M, 
19,4060,ACKERMANN Helmut,GER, ,M, 
20,3737,ACKERMANN Tim,GER, ,M, 
21,8330,ACOSTA-PABLEY Samuel,USA,2005,M,Steamboat Springs winter sports clu
22,4413,ADACHI Masahito,JPN,1976,M, 
23,4181,ADAMI Giancarlo,ITA,1982,M, 
24,7345,ADBUKHALILOV Islam,KAZ,2001,M,Almaty Skiclub
25,6939,ADILOV Akram,KAZ,1995,M,Almaty Ski Club
26,3234,AEYRI Riku,FIN, ,M, 
27,3180,AFANASENKO Dimitri,BLR,1981,M,SC Minsk
28,4126,AFANASJEW Viktor,SOV, ,M, 
29,8854,AFGHANISTAN,AFG, ,A, 
30,8748,AFGHANISTAN,AFG, ,M, 
31,8636,AFGHANISTAN,AFG, ,F, 
32,8978,AFGHANISTAN I,AFG, ,A, 
33,9350,AFGHANISTAN I,AFG, ,M, 
34,9097,AFGHANISTAN I,AFG, ,F, 
35,9817,AFGHANISTAN II,AFG, ,A, 
36,9465,AFGHANISTAN II,AFG, ,M, 
37,9579,AFGHANISTAN II,AFG, ,F, 
38,9936,AFGHANISTAN III,AFG, ,A, 
39,9216,AFGHANISTAN III,AFG, ,M, 
40,9696,AFGHANISTAN III,AFG, ,F, 
41,4913,AFINOGENOV Roman,RUS,1986,M, 
42,3168,AHAVA Jarkko,FIN, ,M, 
43,6677,AHIBALAU Mikita,BLR,1999,M,Sc Minsk
44,5013,AHLBORN Alexandra,GER,1989,F,SC Willingen
45,2959,AHLERS Ann-Kristin,GER,1993,F,SK Winterberg
46,6396,AHNRTSHIN Rustam,RUS,1991,M,Moscow Uor-2
47,1995,AHONEN Janne,FIN,1977,M,Lahden Hiihtoseura
48,7171,AHONEN Mico,FIN,27-11-2001,M,Lahden Hiihtoseura
49,4574,AHONEN Mika,FIN,1980,M, 
50,2902,AHONEN Pasi,FIN,1981,M,Lahden Hiihtoseura
51,2709,AHONEN Veli-Matti,FIN, ,M, 
52,5746,AIBA Yutaka,JPN,1989,M, 
53,5518,AIGNER Clemens,AUT,02-02-1993,M,SV Innsbruck-Bergisel-Tirol
54,8065,AIGNER Xaver,AUT,06-04-2002,M,Kitzbueheler Ski Club - KSC 
55,6918,AIGRO Artti,EST,29-08-1999,M,Pohjakotkas
56,3447,AIMONI Giacomo,ITA,1939,M, 
57,7247,AIOI Keisuke,JPN,31-05-1997,M, 
58,5651,AIRIAU Gabriel,FRA,1995,M,U.S. Autrans
59,5650,AIRIAU Gatien,FRA,1993,M,U.S. Autrans
60,5318,AIRIAU Gautier,FRA,1991,M,U.S. Autrans
61,6904,AIRIAU Ghislain,FRA,1998,M,Autrans
62,8133,AIRISNIEMI Markus,FIN,2000,M,Kuusamon Era-veikot
63,6188,AITKEN Simeon,USA,1994,M,Itasca Ski and Outing Club
64,2582,AIZAWA Hiroyasu,JPN,1961,M, 
65,4634,AJNIK Luka,SLO,1980,M,SSK Ljubno
66,6478,AJNIK Matic,SLO,1996,M,Ssk Ljubno btc
67,7482,AKBIROV Renat,RUS,1996,M,Leninogorsk
68,7902,AKCHURIN Ruslan,RUS,15-08-2001,M,Vyborgskaya Sdushor kor 1
69,7496,AKHABADZE Sergey,GEO,21-03-1995,M,Bakuriani
70,7130,AKHMETVALIYEVA Dayana,KAZ,1997,F,Almaty Skiclub
71,3797,AKIMOTO Kazuhiro,JPN, ,M, 
72,4258,AKIMOTO Kazuma,JPN,1983,M, 
73,2363,AKIMOTO Masahiro,JPN,1956,M, 
74,4802,AKIMOTO Yuki,JPN,1987,M, 
75,6357,AKIMOTO Yuuki,JPN,1987,M, 
76,6324,AKITA Shin,JPN,1990,M, 
77,4573,ALAKUNNAS Hannu,FIN,1981,M,Ounasvaaran Hiihtoseura
78,6910,ALAMOMMO Andreas,FIN,23-12-1998,M,Ounasvaaran Hiihtoseura
79,7356,ALATALKKARI Lauri-Matias,FIN,22-03-1993,M,Lapuan Virkia
80,8855,ALBANIA,ALB, ,A, 
81,8749,ALBANIA,ALB, ,M, 
82,8637,ALBANIA,ALB, ,F, 
83,8979,ALBANIA I,ALB, ,A, 
84,9351,ALBANIA I,ALB, ,M, 
85,9098,ALBANIA I,ALB, ,F, 
86,9818,ALBANIA II,ALB, ,A, 
87,9466,ALBANIA II,ALB, ,M, 
88,9580,ALBANIA II,ALB, ,F, 
89,9937,ALBANIA III,ALB, ,A, 
90,9217,ALBANIA III,ALB, ,M, 
91,9697,ALBANIA III,ALB, ,F, 
92,5578,ALBEL Florian,AUT,1991,M, 
